##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	demo_trimmed.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1249800
Sequences flagged as poor quality	0
Sequence length	2-100
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.774063850216034	31.0	31.0	34.0	30.0	34.0
2	32.12756281004961	33.0	31.0	34.0	30.0	34.0
3	32.29429221826154	34.0	31.0	34.0	30.0	34.0
4	35.919907630043284	37.0	35.0	37.0	35.0	37.0
5	35.92755540191696	37.0	35.0	37.0	35.0	37.0
6	35.769151359903205	37.0	35.0	37.0	33.0	37.0
7	35.747404653217494	37.0	35.0	37.0	33.0	37.0
8	35.7337949624166	37.0	35.0	37.0	33.0	37.0
9	37.42577314636957	39.0	37.0	39.0	34.0	39.0
10-11	37.455417152036674	39.0	37.0	39.0	34.0	39.0
12-13	37.34320977853604	39.0	37.0	39.0	34.0	39.0
14-15	38.53069691066415	40.0	38.0	41.0	34.0	41.0
16-17	38.48909840652908	40.0	38.0	41.0	34.0	41.0
18-19	38.49233918443778	40.0	38.0	41.0	34.0	41.0
20-21	38.44978747156152	40.0	38.0	41.0	34.0	41.0
22-23	38.46495300874338	40.0	38.0	41.0	34.0	41.0
24-25	37.70861292680161	39.5	37.0	41.0	32.0	41.0
26-27	36.57314774146254	39.0	35.0	41.0	29.0	41.0
28-29	36.28910736062809	39.0	35.0	41.0	27.0	41.0
30-31	36.23859592700854	39.0	35.0	41.0	27.5	41.0
32-33	36.31465190905456	39.0	35.0	41.0	28.0	41.0
34-35	36.2695534569804	39.0	35.0	41.0	27.5	41.0
36-37	36.224181760419796	39.0	35.0	41.0	27.5	41.0
38-39	36.16061932428457	39.0	35.0	41.0	27.5	41.0
40-41	36.05270304776457	38.5	34.5	41.0	27.5	41.0
42-43	35.93871291217837	38.0	34.0	41.0	27.0	41.0
44-45	35.87883287561513	38.0	34.0	40.5	27.0	41.0
46-47	35.820675675163514	38.0	34.0	40.0	27.0	41.0
48-49	35.658600151672324	38.0	33.5	40.0	27.0	41.0
50-51	35.6260843108584	38.0	33.5	40.0	27.0	41.0
52-53	35.51082340029371	38.0	33.0	40.0	27.0	41.0
54-55	35.35016694065567	38.0	33.0	40.0	26.5	41.0
56-57	35.17511364536007	37.5	33.0	40.0	26.0	41.0
58-59	35.005017796707264	37.0	33.0	40.0	26.0	41.0
60-61	34.85805013752122	37.0	33.0	40.0	26.0	41.0
62-63	34.6719391478674	36.0	33.0	40.0	26.0	41.0
64-65	34.5323356120873	36.0	32.5	39.0	26.0	41.0
66-67	34.306881443772326	35.5	32.0	39.0	26.0	41.0
68-69	34.008020965589175	35.0	32.0	39.0	26.0	41.0
70-71	33.7648071112593	35.0	32.0	38.5	26.0	40.0
72-73	33.54820965822631	35.0	31.5	37.5	26.0	40.0
74-75	33.24659709567412	35.0	31.0	37.0	26.0	39.5
76-77	33.02998834488682	35.0	31.0	36.5	26.0	39.0
78-79	32.808098799578936	35.0	31.0	36.0	26.0	39.0
80-81	32.55977590445407	34.5	31.0	36.0	25.0	37.5
82-83	32.472149378461125	34.0	31.0	35.0	25.5	37.0
84-85	32.55957738731161	35.0	31.0	35.0	26.0	37.0
86-87	32.47444742300344	34.5	31.0	35.0	26.0	36.5
88-89	32.41944874442397	34.0	31.0	35.0	26.0	36.0
90-91	32.36776754473818	34.0	31.0	35.0	26.0	36.0
92-93	32.36668451242073	34.0	31.0	35.0	26.0	36.0
94-95	32.45716067657841	34.0	32.0	35.0	26.5	35.0
96-97	32.58023754658912	34.0	32.0	35.0	27.0	35.0
98-99	32.75469590492366	34.0	32.0	35.0	27.5	35.0
100	32.79871514539068	34.0	32.0	35.0	28.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	20-21	-0.0956683389117785
1103	22-23	-0.06170242271178239
1103	24-25	-0.05732185868114925
1103	26-27	-0.11632726173994001
1103	28-29	-0.001634561112481947
1103	30-31	0.03684823670629811
1103	32-33	-8.036748510562575E-4
1103	34-35	-0.06233562658557901
1103	36-37	0.05089881651812078
1103	38-39	-0.0651132878845786
1103	40-41	-0.20442831367508063
1103	42-43	-0.10827971373477396
1103	44-45	-0.06944153030389089
1103	46-47	-0.03441590724749233
1103	48-49	-0.022558374353877753
1103	50-51	-0.03810546616106336
1103	52-53	-0.1614324195141208
1103	54-55	-0.1738893173330993
1103	56-57	-0.001976419969977883
1103	58-59	-0.11874951017009039
1103	60-61	-0.0022790460520312195
1103	62-63	-0.08298017210272235
1103	64-65	-0.04474495318424232
1103	66-67	-0.10575721188412501
1103	68-69	-0.009663745172929339
1103	70-71	-0.08152653123081421
1103	72-73	-0.08175433037316537
1103	74-75	-0.05477844774261342
1103	76-77	-0.0575083257336928
1103	78-79	-0.0710497604395357
1103	80-81	-0.07636475293514877
1103	82-83	-0.06069320675623402
1103	84-85	-0.1378504741473634
1103	86-87	-0.14296430990903275
1103	88-89	-0.15850213845134675
1103	90-91	-0.063810304070401
1103	92-93	-0.008453221769102015
1103	94-95	-0.06655422033686165
1103	96-97	-0.007180388777769053
1103	98-99	-0.0684405805419317
1103	100	-0.007388966495383897
1104	1	-0.22519397505090666
1104	2	-0.15188106068238127
1104	3	-0.13085962176116084
1104	4	-0.13101051619179316
1104	5	-0.09147007786158667
1104	6	-0.0876682663306454
1104	7	-0.09403421180169858
1104	8	-0.08223767846299523
1104	9	-0.10380575606270526
1104	10-11	-0.10274418181848688
1104	12-13	-0.1516320804336786
1104	14-15	-0.07130614531421031
1104	16-17	-0.13893137866576666
1104	18-19	-0.1256820597459125
1104	20-21	-0.15125027476014452
1104	22-23	-0.14282818759332372
1104	24-25	-0.19562367162112082
1104	26-27	-0.14124464122316738
1104	28-29	-0.2314115237956429
1104	30-31	-0.2777209898182136
1104	32-33	-0.11811852787386101
1104	34-35	-0.26132077619966054
1104	36-37	-0.2593970961405532
1104	38-39	-0.2611215674505374
1104	40-41	-0.165529045347256
1104	42-43	-0.18986894421060185
1104	44-45	-0.067179513706634
1104	46-47	-0.24087176589893033
1104	48-49	-0.1267934870474292
1104	50-51	-0.24686848137668704
1104	52-53	-0.17384350045647778
1104	54-55	-0.14653459322668994
1104	56-57	-0.1360900124596327
1104	58-59	-0.1540845914975364
1104	60-61	-0.1215703392223304
1104	62-63	-0.07394353869467807
1104	64-65	-0.17989752762979805
1104	66-67	-0.11728166498123471
1104	68-69	-0.14872462888048688
1104	70-71	-0.11017821783681114
1104	72-73	-0.1278257546101642
1104	74-75	-0.18039060333532575
1104	76-77	-0.14077724373786538
1104	78-79	-0.19012470360242162
1104	80-81	-0.11818604805525013
1104	82-83	-0.23703177463871583
1104	84-85	-0.12753895538027393
1104	86-87	-0.16234940636864792
1104	88-89	-0.04524622531893385
1104	90-91	-0.11649314483989315
1104	92-93	-0.14297821159716761
1104	94-95	-0.0751479022298227
1104	96-97	-0.13057330997077088
1104	98-99	-0.10868021065194
1104	100	-0.11933751698074957
>>END_MODULE
>>Per sequence quality scores	pass
#Quality	Count
17	1.0
18	8.0
19	42.0
20	138.0
21	414.0
22	1395.0
23	3957.0
24	8698.0
25	15957.0
26	23919.0
27	32935.0
28	40392.0
29	46828.0
30	52536.0
31	57528.0
32	63376.0
33	72165.0
34	85593.0
35	108553.0
36	147490.0
37	201861.0
38	211828.0
39	73945.0
40	241.0
>>END_MODULE
>>Per base sequence content	fail
#Base	G	A	T	C
1	34.69700233595651	11.91682168972059	7.039421368276318	46.34675460604658
2	21.625540086413828	18.404464714354297	38.6864298287726	21.28356537045927
3	23.16558448053065	22.298235296470992	24.54782222542277	29.988357997575584
4	25.514560030469923	31.037873762659462	21.24677037216035	22.20079583471027
5	25.676209863917816	31.970350952159183	23.966580404997735	18.386858778925266
6	21.32583660035003	31.582788563801056	25.707600205183855	21.383774630665062
7	17.69717592977918	20.428812430774745	41.606217948307545	20.26779369113853
8	21.110486855415978	20.60011780825426	30.787410523350367	27.501984812979398
9	20.154469202202588	20.282766679472402	33.617220514790624	25.945543603534382
10-11	24.953796602599557	29.27598535898579	22.228496510632983	23.54172152778167
12-13	24.42654964379616	22.34356069353982	27.467940854032673	25.761948808631345
14-15	22.927813641134605	25.12847959738389	28.471391022320503	23.472315739160997
16-17	23.813977698144182	25.254469379992393	27.09026846309383	23.841284458769593
18-19	23.655906226444266	25.46034065248336	26.816630339266673	24.0671227818057
20-21	23.532054138442845	25.440548052356053	27.291699391872182	23.73569841732892
22-23	23.699425442950396	25.68227897602503	27.023072526546944	23.595223054477636
24-25	23.567620446670563	25.425838221298307	27.05726943835935	23.949271893671778
26-27	23.2025354785312	25.69275491047096	27.358822698185193	23.745886912812644
28-29	23.490786716421596	25.801646543283184	26.91388697632755	23.793679763967667
30-31	23.35671956122119	25.648956666981764	26.889848067278987	24.104475704518062
32-33	23.223061017438493	25.66538509239737	27.350556986680708	23.760996903483427
34-35	23.616135548125094	25.834011258724043	26.695248218509892	23.85460497464097
36-37	23.692384243532956	25.522043374691002	26.78479291683706	24.00077946493899
38-39	23.2890916886892	25.732640898150844	27.09912331677599	23.879144096383964
40-41	23.630763141352144	25.566341846167866	26.902700432231754	23.90019458024824
42-43	23.392614886744717	25.531115095695206	27.06195021831724	24.014319799242838
44-45	23.136093281746902	25.691091760004987	27.224974572250115	23.947840385997992
46-47	23.39508548593104	25.665540774276458	26.904174308524897	24.035199431267603
48-49	23.43366150805212	25.387748079182526	26.94775900125388	24.23083141151148
50-51	23.315536465515375	25.62048651812229	27.165053999209643	23.89892301715269
52-53	23.473831190072424	25.619783200325948	26.928411934439726	23.977973675161905
54-55	23.382731252904	25.412793091594548	27.048771264001637	24.155704391499814
56-57	23.11294608032268	25.652577540179028	27.24706038943206	23.98741599006623
58-59	23.24804432166673	25.614548201756204	27.056007990880122	24.08139948569695
60-61	23.354904739010582	25.564489938855576	26.91584014435205	24.164765177781792
62-63	23.167904718835736	25.64803639579835	27.253285436362873	23.93077344900304
64-65	23.388696575367902	25.634687980383593	27.00790470470163	23.968710739546875
66-67	23.3208575598518	25.53008472016899	26.95949393225042	24.18956378772879
68-69	23.259677130206782	25.662564050975096	27.212082833027452	23.86567598579067
70-71	23.485166507106435	25.69667563914335	26.924980229343927	23.893177624406288
72-73	23.460250676403646	25.53917425058633	26.9574567222917	24.04311835071832
74-75	23.24517875439436	25.73788542904228	27.12747528572317	23.889460530840193
76-77	23.34968351529785	25.834335032949152	26.922106615756757	23.89387483599624
78-79	23.465404085125186	25.465358496124058	26.988732503029038	24.08050491572172
80-81	23.24397976498172	25.653967447286476	27.132134915975882	23.969917871755925
82-83	23.468040177127637	25.64302561041919	26.895961626179993	23.992972586273183
84-85	23.455935662337513	25.413012178441708	26.959576926171447	24.171475233049332
86-87	23.1373511338057	25.737916829813823	27.228590176127415	23.89614186025306
88-89	23.44402381611119	25.75711975311141	26.831678936867508	23.967177493909887
90-91	23.301284186776137	25.57767555530778	26.895085389604944	24.22595486831114
92-93	23.205077513632844	25.741454645967078	27.112656075241947	23.94081176515813
94-95	23.434998890390503	25.869653547020803	26.72111088821113	23.974236674377565
96-97	23.327106218138606	25.727480221690325	26.717101905610242	24.228311654560827
98-99	23.180383008630304	25.977440977685472	26.7765182131889	24.065657800495323
100	23.607485338002714	25.8798408305771	26.187164424414366	24.325509407005814
>>END_MODULE
>>Per sequence GC content	pass
#GC Content	Count
0	295.0
1	296.5
2	322.5
3	360.5
4	383.5
5	417.0
6	457.0
7	466.5
8	455.0
9	472.5
10	496.5
11	523.0
12	558.0
13	587.5
14	644.5
15	721.0
16	810.5
17	900.5
18	1036.5
19	1290.5
20	1607.5
21	1968.0
22	2453.5
23	3209.5
24	4227.0
25	5466.5
26	7055.0
27	9008.0
28	11087.5
29	13218.5
30	15441.5
31	17610.0
32	19937.0
33	22386.5
34	24793.5
35	27247.5
36	29851.0
37	32352.5
38	34515.0
39	36780.5
40	38474.0
41	39629.5
42	40914.0
43	41973.0
44	42640.0
45	43172.5
46	43699.5
47	43352.0
48	42655.0
49	42601.0
50	42661.0
51	42117.0
52	40842.5
53	40021.0
54	39791.5
55	39707.0
56	39034.5
57	36822.5
58	34501.5
59	32770.0
60	31152.5
61	28815.0
62	25774.5
63	23003.0
64	20534.0
65	18391.0
66	16332.5
67	14409.0
68	12491.5
69	10423.5
70	8653.0
71	7421.0
72	6372.0
73	5350.5
74	4499.5
75	3892.0
76	3544.5
77	3170.5
78	2759.5
79	2467.0
80	2153.5
81	1805.5
82	1593.5
83	1453.5
84	1303.5
85	1115.0
86	938.0
87	772.0
88	626.0
89	507.5
90	405.5
91	331.0
92	267.5
93	219.5
94	182.5
95	145.5
96	113.5
97	88.5
98	67.0
99	55.5
100	54.0
>>END_MODULE
>>Per base N content	pass
#Base	N-Count
1	0.08489358297327572
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10-11	0.0
12-13	0.0
14-15	0.0
16-17	6.005849697605467E-4
18-19	0.0020826741536132394
20-21	0.0
22-23	0.0
24-25	0.0
26-27	0.0
28-29	0.0
30-31	0.0
32-33	0.0
34-35	0.0
36-37	0.0
38-39	0.0
40-41	4.927097434583544E-4
42-43	0.0
44-45	0.0070197548288687
46-47	0.024436925602815466
48-49	0.03323726379211421
50-51	0.013045814148414684
52-53	0.023336032171940555
54-55	0.01573736478456177
56-57	0.024466196853925013
58-59	0.0045631116365261876
60-61	0.0012718827425861954
62-63	4.2542293421004494E-5
64-65	2.1344407381066827E-4
66-67	0.0
68-69	0.0
70-71	0.0
72-73	0.0
74-75	0.0
76-77	0.0
78-79	0.0014465531487736077
80-81	0.004844050207259294
82-83	0.0061492724835540144
84-85	0.004889451719108999
86-87	0.007776821318144397
88-89	0.01686727478814703
90-91	0.004532271814844006
92-93	0.0020135382993289428
94-95	0.0
96-97	0.0
98-99	0.0
100	0.0
>>END_MODULE
>>Sequence Length Distribution	warn
#Length	Count
2-3	43.0
4-5	146.0
6-7	123.0
8-9	89.0
10-11	142.0
12-13	175.0
14-15	214.0
16-17	341.0
18-19	578.0
20-21	924.0
22-23	2222.0
24-25	5534.0
26-27	3290.0
28-29	2872.0
30-31	2788.0
32-33	2817.0
34-35	2872.0
36-37	2967.0
38-39	3088.0
40-41	3304.0
42-43	3443.0
44-45	3715.0
46-47	3701.0
48-49	3796.0
50-51	4042.0
52-53	4080.0
54-55	4188.0
56-57	3890.0
58-59	4072.0
60-61	4064.0
62-63	3975.0
64-65	4070.0
66-67	4148.0
68-69	4168.0
70-71	4152.0
72-73	4444.0
74-75	4622.0
76-77	4771.0
78-79	5166.0
80-81	5349.0
82-83	5084.0
84-85	5982.0
86-87	6823.0
88-89	7940.0
90-91	10130.0
92-93	12457.0
94-95	16289.0
96-97	19369.0
98-99	14228.0
100-101	1033113.0
>>END_MODULE
>>Sequence Duplication Levels	pass
#Total Deduplicated Percentage	80.66427930453814
#Duplication Level	Percentage of deduplicated	Percentage of total
1	91.19230881248164	73.55961868475714
2	5.6089790777534985	9.04888509882438
3	1.383167903190814	3.3471672620416864
4	0.5793918566584262	1.8694490620908086
5	0.30893595728856016	1.2460048172969644
6	0.19505906212155108	0.9440579200712432
7	0.12344836365407329	0.6970511299836254
8	0.09070207100074949	0.5853133750963605
9	0.0766804918784489	0.5566838952683314
>10	0.40948595084472045	5.946583829177418
>50	0.02459702537587839	1.3394842912307228
>100	0.007243427751668668	0.859700634161237
>500	0.0	0.0
>1k	0.0	0.0
>5k	0.0	0.0
>10k+	0.0	0.0
>>END_MODULE
>>Overrepresented sequences	pass
>>END_MODULE
>>Adapter Content	pass
#Position	Illumina Universal Adapter	Illumina Small RNA 3' Adapter	Illumina Small RNA 5' Adapter	Nextera Transposase Sequence	SOLID Small RNA Adapter
1	0.0	0.0	0.0	1.6002560409665546E-4	0.0
2	0.0	3.200512081933109E-4	0.0	4.8007681228996637E-4	0.0
3	0.0	3.200512081933109E-4	0.0	4.8007681228996637E-4	0.0
4	8.001280204832773E-5	3.200512081933109E-4	0.0	4.8007681228996637E-4	0.0
5	8.001280204832773E-5	4.0006401024163864E-4	0.0	4.8007681228996637E-4	0.0
6	8.001280204832773E-5	4.0006401024163864E-4	0.0	4.8007681228996637E-4	0.0
7	8.001280204832773E-5	4.8007681228996637E-4	0.0	4.8007681228996637E-4	0.0
8	8.001280204832773E-5	4.8007681228996637E-4	0.0	5.600896143382942E-4	0.0
9	8.001280204832773E-5	4.8007681228996637E-4	0.0	5.600896143382942E-4	0.0
10-11	1.2001920307249159E-4	4.8007681228996637E-4	0.0	5.600896143382942E-4	0.0
12-13	2.800448071691471E-4	5.200832133141302E-4	0.0	5.600896143382942E-4	0.0
14-15	3.6005760921747475E-4	5.600896143382942E-4	0.0	5.600896143382942E-4	0.0
16-17	4.8007681228996637E-4	5.600896143382942E-4	0.0	6.00096015362458E-4	0.0
18-19	8.401344215074411E-4	5.600896143382942E-4	0.0	7.201152184349496E-4	0.0
20-21	9.601536245799327E-4	5.600896143382942E-4	0.0	7.201152184349496E-4	0.0
22-23	9.601536245799327E-4	6.00096015362458E-4	0.0	8.001280204832773E-4	0.0
24-25	9.601536245799327E-4	6.401024163866218E-4	0.0	8.801408225316051E-4	0.0
26-27	0.0010801728276524244	6.401024163866218E-4	0.0	8.801408225316051E-4	0.0
28-29	0.0014402304368698992	6.401024163866218E-4	0.0	8.801408225316051E-4	0.0
30-31	0.0017202752440390462	6.401024163866218E-4	0.0	8.801408225316051E-4	0.0
32-33	0.0019603136501840294	6.801088174107858E-4	0.0	8.801408225316051E-4	0.0
34-35	0.0022003520563290127	7.601216194591134E-4	0.0	8.801408225316051E-4	0.0
36-37	0.0024803968634981594	8.401344215074411E-4	0.0	8.801408225316051E-4	0.0
38-39	0.0030804928788606177	8.801408225316051E-4	0.0	9.201472235557689E-4	0.0
40-41	0.003680588894223076	8.801408225316051E-4	0.0	9.601536245799327E-4	0.0
42-43	0.004480716914706353	9.601536245799327E-4	0.0	0.001200192030724916	0.0
44-45	0.005640902544407105	0.0010001600256040965	0.0	0.001200192030724916	0.0
46-47	0.007321171387421987	0.0010401664266282604	0.0	0.001200192030724916	0.0
48-49	0.008521363418146903	0.0010401664266282604	0.0	0.0012401984317490797	0.0
50-51	0.01108177308369339	0.0010801728276524244	0.0	0.0012802048327732437	0.0
52-53	0.014002240358457353	0.0012401984317490797	0.0	0.0012802048327732437	0.0
54-55	0.01768282925268043	0.0012802048327732437	0.0	0.0012802048327732437	0.0
56-57	0.02080332853256521	0.0014002240358457355	0.0	0.0012802048327732437	0.0
58-59	0.024563930228836614	0.0016002560409665546	0.0	0.0013602176348215715	0.0
60-61	0.030284845575292048	0.0016402624419907185	0.0	0.0014402304368698992	0.0
62-63	0.03732597215554489	0.0018803008481357018	0.0	0.0016002560409665546	0.0
64-65	0.04556729076652265	0.0020003200512081934	0.0	0.0016002560409665546	0.0
66-67	0.055888942230756924	0.0022403584573531766	0.0	0.0016802688430148825	0.0
68-69	0.06909105456873099	0.002360377660425668	0.0	0.0018402944471115378	0.0
70-71	0.08445351256200992	0.002440390462473996	0.0	0.0018803008481357015	0.0
72-73	0.10381661065770523	0.0025204032645223234	0.0	0.0020003200512081934	0.0
74-75	0.12894063050088014	0.0025604096655464873	0.0	0.002080332853256521	0.0
76-77	0.15694511121779486	0.0025604096655464873	0.0	0.0022403584573531766	0.0
78-79	0.1961913906224996	0.0025604096655464873	0.0	0.0022403584573531766	0.0
80-81	0.23979836773883823	0.0025604096655464873	0.0	0.002400384061449832	0.0
82-83	0.29092654824771963	0.002640422467594815	0.0	0.002440390462473996	0.0
84-85	0.355456873099696	0.0030804928788606177	0.0	0.0025204032645223234	0.0
86-87	0.43706993118899023	0.003280524883981437	0.0	0.0025604096655464873	0.0
88-89	0.53612578012482	0.003280524883981437	0.0	0.0025604096655464873	0.0
>>END_MODULE
